debate_id,condition,topic_id,topicQuestion,gameMode,player1Stance,player2Stance,player2AIModel,preDebateSurvey.player1,postDebateSurvey.player1StanceStrength,postDebateSurvey.player1StanceConfidence,postDebateSurvey.player1OpponentPerception,postDebateSurvey.player1PerceptionConfidence,postDebateSurvey.player1SuspicionTiming,n_rounds,first_player_p1,postDebateSurvey.player1DetectionCues,postDebateSurvey.player1DetectionOther
69b03fd157d1915d7288fc61,human-human,2,Does pineapple belong on pizza?,human-human,against,for,,open_to_change,6,5.0,human,4.0,round_1_2,4,True,"['natural_flow', 'typos_informal', 'varied_styles']",
69b01cb372628e22871f4c5f,human-human,1,Should we use ChatGPT for homework?,human-human,for,against,,firm_on_stance,5,3.0,human,3.0,round_1_2,4,False,"['natural_flow', 'typos_informal']",
69affeb8a57f60770a789f20,human-human,1,Should we use ChatGPT for homework?,human-human,against,for,,open_to_change,5,4.0,human,5.0,round_1_2,4,True,['emotional_tone'],
69aeeb923b45fc551e0f5f95,human-human,1,Should we use ChatGPT for homework?,human-human,for,against,,firm_on_stance,6,6.0,human,4.0,round_3_4,4,True,"['natural_flow', 'typos_informal', 'emotional_tone']",
69ae0e16d0514b89ec60ad3a,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,human-human,for,against,,convinced_of_stance,5,2.0,human,5.0,round_1_2,4,True,"['natural_flow', 'typos_informal']",
69ae0cf2d0514b89ec60acee,human-human,1,Should we use ChatGPT for homework?,human-human,for,against,,open_to_change,4,2.0,human,5.0,round_1_2,4,True,['natural_flow'],
69ada1fa3d2b5eba5a91e295,human-human,2,Does pineapple belong on pizza?,human-human,for,against,,open_to_change,6,5.0,human,4.0,round_1_2,4,True,['other'],this debate was done by known opponent
69aadc2847d9025cf07af805,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,human-human,against,for,,firm_on_stance,6,5.0,human,3.0,round_1_2,4,True,['unpredictable'],
69a95edf6471229f4b7a5545,human-human,2,Does pineapple belong on pizza?,human-human,against,for,,convinced_of_stance,2,2.0,human,3.0,round_3_4,4,True,"['natural_flow', 'typos_informal', 'varied_styles']",
69a91da5b1c3b3255791b181,human-human,2,Does pineapple belong on pizza?,human-human,against,for,,open_to_change,4,5.0,human,5.0,round_1_2,4,False,"['emotional_tone', 'typos_informal', 'unpredictable']",
