section,analysis,term,beta,ci_low,ci_high,p,suspicion_timing,count,mean,std,group_2lvl,n,cue_count_mean,has_detection_cue_rate,cue_ai_attribution_rate,cue_human_attribution_rate,cue_early_suspicion_rate,cue_mid_suspicion_rate,cue_late_suspicion_rate,cue_any_selection_rate,cue_explicit_ai_rate,cue_other_text_present_rate,cue_other_style_rate,cue_other_speed_rate,condition,correct_attribution,belief_change,cue_ai_attribution,cue_human_attribution,cue_early_suspicion,cue_mid_suspicion,cue_late_suspicion,cue_any_selection,cue_explicit_ai,cue_other_text_present,cue_other_style,cue_other_speed,cue_count,has_detection_cue,variable,metric_type,sd,median,level,condition_total,prop,group,has_direct_ack,has_pushback,has_specificity,high_engagement_rate,debate_id,round,acknowledgement_text,engagement_depth,argument_quality_mean,arg_length_words_mean,has_claim_rate,has_evidence_rate,has_counter_engagement_rate,has_specificity_rate,argument_preview,argument_quality,arg_length_words,has_claim,has_evidence,has_counter_engagement,n_rated,spearman_rho,spearman_p,icc_human_21,icc_human_2k,icc_all_21,icc_all_2k,correlation_pushback_conf,p_value,status,full_population_prop,qual_sample_prop,n_qual,prop_diff,stat,n_non_missing,metric,value
explore_model_terms,attribution_moderation,"C(group_2lvl, Treatment(""human""))[T.ai]:correct_attribution",-0.19895811306221955,-18.650839616761914,18.252923390637477,0.9831392525829069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explore_model_terms,survey_group_effect::postDebateSurvey.player1StanceStrength,"C(group_2lvl, Treatment(""human""))[T.ai]",0.31877142352989446,-0.20012049400188753,0.8376633410616765,0.22856377660402116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explore_model_terms,survey_group_effect::postDebateSurvey.player1StanceConfidence,"C(group_2lvl, Treatment(""human""))[T.ai]",0.4844678692542416,-0.24006956386266237,1.2090053023711456,0.1900112211004924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explore_model_terms,survey_group_effect::postDebateSurvey.player1PerceptionConfidence,"C(group_2lvl, Treatment(""human""))[T.ai]",-0.13816432220405794,-0.5708516390616225,0.29452299465350656,0.5314137295576663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suspicion_timing,,,,,,,round_1_2,49.0,-4.6938775510204085,26.393815627933765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suspicion_timing,,,,,,,round_3_4,37.0,3.27027027027027,34.332239989588544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suspicion_timing,,,,,,,round_5_7,2.0,-7.0,60.81118318204309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suspicion_timing,,,,,,,,2.0,18.0,9.899494936611665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_summary,,,,,,,,,,,ai,69.0,3.463768115942029,1.0,0.8985507246376812,0.028985507246376812,0.4782608695652174,0.463768115942029,0.028985507246376812,1.0,0.4057971014492754,0.14492753623188406,0.0,0.014492753623188406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_summary,,,,,,,,,,,human,21.0,3.1904761904761907,1.0,0.047619047619047616,0.9523809523809523,0.7619047619047619,0.23809523809523808,0.0,1.0,0.047619047619047616,0.14285714285714285,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,-50.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,-65.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,-50.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,-17.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,25.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,50.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,-34.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,-40.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,44.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,20.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,38.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection_cue_rows,,,,,,,,,,,human,,,,,,,,,,,,,,human-human,1.0,-78.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
