debate_id,condition,topic_id,topicQuestion,round,player,belief_value,influence,confidence,delta_belief
699701454bd396a55ecfa95f,human-human,1,Should we use ChatGPT for homework?,0,player1,50.0,0,0.0,0.0
699701454bd396a55ecfa95f,human-human,1,Should we use ChatGPT for homework?,1,player1,94.0,2,86.0,44.0
699701454bd396a55ecfa95f,human-human,1,Should we use ChatGPT for homework?,2,player1,88.0,7,86.0,-6.0
699701454bd396a55ecfa95f,human-human,1,Should we use ChatGPT for homework?,3,player1,50.0,5,86.0,-38.0
699701454bd396a55ecfa95f,human-human,1,Should we use ChatGPT for homework?,4,player1,91.0,11,86.0,41.0
699701454bd396a55ecfa95f,human-human,1,Should we use ChatGPT for homework?,0,player2,50.0,0,0.0,0.0
699701454bd396a55ecfa95f,human-human,1,Should we use ChatGPT for homework?,1,player2,50.0,0,50.0,0.0
699701454bd396a55ecfa95f,human-human,1,Should we use ChatGPT for homework?,2,player2,50.0,0,50.0,0.0
699701454bd396a55ecfa95f,human-human,1,Should we use ChatGPT for homework?,3,player2,62.0,10,45.0,12.0
699701454bd396a55ecfa95f,human-human,1,Should we use ChatGPT for homework?,4,player2,12.0,3,74.0,-50.0
699af60c9bfc0e83b484126c,human-human,2,Does pineapple belong on pizza?,0,player1,25.0,0,0.0,0.0
699af60c9bfc0e83b484126c,human-human,2,Does pineapple belong on pizza?,1,player1,0.0,10,67.0,-25.0
699af60c9bfc0e83b484126c,human-human,2,Does pineapple belong on pizza?,2,player1,0.0,0,90.0,0.0
699af60c9bfc0e83b484126c,human-human,2,Does pineapple belong on pizza?,3,player1,5.0,0,90.0,5.0
699af60c9bfc0e83b484126c,human-human,2,Does pineapple belong on pizza?,4,player1,10.0,0,85.0,5.0
699af60c9bfc0e83b484126c,human-human,2,Does pineapple belong on pizza?,0,player2,75.0,0,0.0,0.0
699af60c9bfc0e83b484126c,human-human,2,Does pineapple belong on pizza?,1,player2,90.0,0,80.0,15.0
699af60c9bfc0e83b484126c,human-human,2,Does pineapple belong on pizza?,2,player2,90.0,0,90.0,0.0
699af60c9bfc0e83b484126c,human-human,2,Does pineapple belong on pizza?,3,player2,90.0,0,90.0,0.0
699af60c9bfc0e83b484126c,human-human,2,Does pineapple belong on pizza?,4,player2,100.0,0,100.0,10.0
699d4c2f41690257a47f6b14,human-human,1,Should we use ChatGPT for homework?,0,player1,50.0,0,0.0,0.0
699d4c2f41690257a47f6b14,human-human,1,Should we use ChatGPT for homework?,1,player1,5.0,0,95.0,-45.0
699d4c2f41690257a47f6b14,human-human,1,Should we use ChatGPT for homework?,2,player1,10.0,10,90.0,5.0
699d4c2f41690257a47f6b14,human-human,1,Should we use ChatGPT for homework?,3,player1,10.0,0,95.0,0.0
699d4c2f41690257a47f6b14,human-human,1,Should we use ChatGPT for homework?,4,player1,5.0,0,95.0,-5.0
699d4c2f41690257a47f6b14,human-human,1,Should we use ChatGPT for homework?,0,player2,75.0,0,0.0,0.0
699d4c2f41690257a47f6b14,human-human,1,Should we use ChatGPT for homework?,1,player2,50.0,0,50.0,-25.0
699d4c2f41690257a47f6b14,human-human,1,Should we use ChatGPT for homework?,2,player2,45.0,70,50.0,-5.0
699d4c2f41690257a47f6b14,human-human,1,Should we use ChatGPT for homework?,3,player2,55.0,0,55.0,10.0
699d4c2f41690257a47f6b14,human-human,1,Should we use ChatGPT for homework?,4,player2,60.0,0,60.0,5.0
699ec589f53d44e8e544d0ab,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,0,player1,100.0,0,0.0,0.0
699ec589f53d44e8e544d0ab,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,1,player1,5.0,0,89.0,-95.0
699ec589f53d44e8e544d0ab,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,2,player1,17.0,48,83.0,12.0
699ec589f53d44e8e544d0ab,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,3,player1,8.0,15,83.0,-9.0
699ec589f53d44e8e544d0ab,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,4,player1,22.0,61,64.0,14.0
699ec589f53d44e8e544d0ab,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,0,player2,25.0,0,0.0,0.0
699ec589f53d44e8e544d0ab,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,1,player2,100.0,0,100.0,75.0
699ec589f53d44e8e544d0ab,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,2,player2,100.0,0,100.0,0.0
699ec589f53d44e8e544d0ab,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,3,player2,100.0,0,100.0,0.0
699ec589f53d44e8e544d0ab,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,4,player2,100.0,0,100.0,0.0
69a3dca6a25dea5aded7a9ae,human-human,1,Should we use ChatGPT for homework?,0,player1,50.0,0,0.0,0.0
69a3dca6a25dea5aded7a9ae,human-human,1,Should we use ChatGPT for homework?,1,player1,79.0,8,81.0,29.0
69a3dca6a25dea5aded7a9ae,human-human,1,Should we use ChatGPT for homework?,2,player1,66.0,33,50.0,-13.0
69a3dca6a25dea5aded7a9ae,human-human,1,Should we use ChatGPT for homework?,3,player1,73.0,0,50.0,7.0
69a3dca6a25dea5aded7a9ae,human-human,1,Should we use ChatGPT for homework?,4,player1,50.0,42,50.0,-23.0
69a3dca6a25dea5aded7a9ae,human-human,1,Should we use ChatGPT for homework?,0,player2,50.0,0,0.0,0.0
69a3dca6a25dea5aded7a9ae,human-human,1,Should we use ChatGPT for homework?,1,player2,40.0,5,60.0,-10.0
69a3dca6a25dea5aded7a9ae,human-human,1,Should we use ChatGPT for homework?,2,player2,50.0,69,50.0,10.0
69a3dca6a25dea5aded7a9ae,human-human,1,Should we use ChatGPT for homework?,3,player2,40.0,10,60.0,-10.0
69a3dca6a25dea5aded7a9ae,human-human,1,Should we use ChatGPT for homework?,4,player2,60.0,15,64.0,20.0
69a3f743c3f532453c5ce21a,human-human,2,Does pineapple belong on pizza?,0,player1,25.0,0,0.0,0.0
69a3f743c3f532453c5ce21a,human-human,2,Does pineapple belong on pizza?,1,player1,5.0,2,78.0,-20.0
69a3f743c3f532453c5ce21a,human-human,2,Does pineapple belong on pizza?,2,player1,4.0,0,89.0,-1.0
69a3f743c3f532453c5ce21a,human-human,2,Does pineapple belong on pizza?,3,player1,38.0,89,52.0,34.0
69a3f743c3f532453c5ce21a,human-human,2,Does pineapple belong on pizza?,4,player1,21.0,0,65.0,-17.0
69a3f743c3f532453c5ce21a,human-human,2,Does pineapple belong on pizza?,5,player1,63.0,97,73.0,42.0
69a3f743c3f532453c5ce21a,human-human,2,Does pineapple belong on pizza?,0,player2,50.0,0,0.0,0.0
69a3f743c3f532453c5ce21a,human-human,2,Does pineapple belong on pizza?,1,player2,85.0,4,88.0,35.0
69a3f743c3f532453c5ce21a,human-human,2,Does pineapple belong on pizza?,2,player2,56.0,82,51.0,-29.0
69a3f743c3f532453c5ce21a,human-human,2,Does pineapple belong on pizza?,3,player2,90.0,0,87.0,34.0
69a3f743c3f532453c5ce21a,human-human,2,Does pineapple belong on pizza?,4,player2,65.0,0,87.0,-25.0
69a3f743c3f532453c5ce21a,human-human,2,Does pineapple belong on pizza?,5,player2,81.0,0,99.0,16.0
69a44b7edfa7c1fe243a0df8,human-human,2,Does pineapple belong on pizza?,0,player1,75.0,0,0.0,0.0
69a44b7edfa7c1fe243a0df8,human-human,2,Does pineapple belong on pizza?,1,player1,100.0,0,100.0,25.0
69a44b7edfa7c1fe243a0df8,human-human,2,Does pineapple belong on pizza?,2,player1,100.0,0,100.0,0.0
69a44b7edfa7c1fe243a0df8,human-human,2,Does pineapple belong on pizza?,3,player1,97.0,3,97.0,-3.0
69a44b7edfa7c1fe243a0df8,human-human,2,Does pineapple belong on pizza?,4,player1,95.0,2,95.0,-2.0
69a44b7edfa7c1fe243a0df8,human-human,2,Does pineapple belong on pizza?,0,player2,50.0,0,0.0,0.0
69a44b7edfa7c1fe243a0df8,human-human,2,Does pineapple belong on pizza?,1,player2,30.0,61,50.0,-20.0
69a44b7edfa7c1fe243a0df8,human-human,2,Does pineapple belong on pizza?,2,player2,30.0,40,75.0,0.0
69a44b7edfa7c1fe243a0df8,human-human,2,Does pineapple belong on pizza?,3,player2,27.0,50,75.0,-3.0
69a44b7edfa7c1fe243a0df8,human-human,2,Does pineapple belong on pizza?,4,player2,50.0,65,50.0,23.0
69a668ef82bc1c6686298e63,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,0,player1,50.0,0,0.0,0.0
69a668ef82bc1c6686298e63,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,1,player1,73.0,12,68.0,23.0
69a668ef82bc1c6686298e63,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,2,player1,64.0,24,71.0,-9.0
69a668ef82bc1c6686298e63,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,3,player1,74.0,13,82.0,10.0
69a668ef82bc1c6686298e63,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,4,player1,82.0,10,88.0,8.0
69a668ef82bc1c6686298e63,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,5,player1,90.0,61,90.0,8.0
69a668ef82bc1c6686298e63,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,6,player1,94.0,9,93.0,4.0
69a668ef82bc1c6686298e63,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,0,player2,25.0,0,0.0,0.0
69a668ef82bc1c6686298e63,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,1,player2,6.0,15,86.0,-19.0
69a668ef82bc1c6686298e63,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,2,player2,7.0,59,85.0,1.0
69a668ef82bc1c6686298e63,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,3,player2,0.0,40,85.0,-7.0
69a668ef82bc1c6686298e63,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,4,player2,10.0,50,85.0,10.0
69a668ef82bc1c6686298e63,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,5,player2,16.0,65,85.0,6.0
69a668ef82bc1c6686298e63,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,6,player2,28.0,60,85.0,12.0
69a678c782bc1c66862a9cec,human-human,1,Should we use ChatGPT for homework?,0,player1,100.0,0,0.0,0.0
69a678c782bc1c66862a9cec,human-human,1,Should we use ChatGPT for homework?,1,player1,70.0,56,62.0,-30.0
69a678c782bc1c66862a9cec,human-human,1,Should we use ChatGPT for homework?,2,player1,85.0,29,74.0,15.0
69a678c782bc1c66862a9cec,human-human,1,Should we use ChatGPT for homework?,3,player1,78.0,0,74.0,-7.0
69a678c782bc1c66862a9cec,human-human,1,Should we use ChatGPT for homework?,4,player1,62.0,52,74.0,-16.0
69a678c782bc1c66862a9cec,human-human,1,Should we use ChatGPT for homework?,5,player1,60.0,60,60.0,-2.0
69a678c782bc1c66862a9cec,human-human,1,Should we use ChatGPT for homework?,0,player2,25.0,0,0.0,0.0
69a678c782bc1c66862a9cec,human-human,1,Should we use ChatGPT for homework?,1,player2,30.0,41,59.0,5.0
69a678c782bc1c66862a9cec,human-human,1,Should we use ChatGPT for homework?,2,player2,40.0,28,59.0,10.0
69a678c782bc1c66862a9cec,human-human,1,Should we use ChatGPT for homework?,3,player2,48.0,29,63.0,8.0
69a678c782bc1c66862a9cec,human-human,1,Should we use ChatGPT for homework?,4,player2,40.0,14,63.0,-8.0
69a678c782bc1c66862a9cec,human-human,1,Should we use ChatGPT for homework?,5,player2,50.0,13,63.0,10.0
69a6d534076d1847b5a0948d,human-human,2,Does pineapple belong on pizza?,0,player1,25.0,0,0.0,0.0
69a6d534076d1847b5a0948d,human-human,2,Does pineapple belong on pizza?,1,player1,30.0,63,20.0,5.0
69a6d534076d1847b5a0948d,human-human,2,Does pineapple belong on pizza?,2,player1,38.0,15,29.0,8.0
69a6d534076d1847b5a0948d,human-human,2,Does pineapple belong on pizza?,3,player1,60.0,66,43.0,22.0
69a6d534076d1847b5a0948d,human-human,2,Does pineapple belong on pizza?,4,player1,35.0,67,54.0,-25.0
69a6d534076d1847b5a0948d,human-human,2,Does pineapple belong on pizza?,0,player2,75.0,0,0.0,0.0
69a6d534076d1847b5a0948d,human-human,2,Does pineapple belong on pizza?,1,player2,55.0,3,93.0,-20.0
69a6d534076d1847b5a0948d,human-human,2,Does pineapple belong on pizza?,2,player2,73.0,17,82.0,18.0
69a6d534076d1847b5a0948d,human-human,2,Does pineapple belong on pizza?,3,player2,90.0,0,90.0,17.0
69a6d534076d1847b5a0948d,human-human,2,Does pineapple belong on pizza?,4,player2,70.0,67,50.0,-20.0
69a7cf1d811ecc1322709d38,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,0,player1,0.0,0,0.0,0.0
69a7cf1d811ecc1322709d38,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,1,player1,0.0,5,100.0,0.0
69a7cf1d811ecc1322709d38,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,2,player1,0.0,0,100.0,0.0
69a7cf1d811ecc1322709d38,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,3,player1,5.0,0,100.0,5.0
69a7cf1d811ecc1322709d38,human-human,3,Go for higher pay at expense of social life (For) or take lower pay to enjoy life (Against)?,4,player1,0.0,0,100.0,-5.0
