debate_id,condition,topic_id,n_rounds,first_player_p1,preDebateSurvey.player1,postDebateSurvey.player1OpponentPerception,postDebateSurvey.player1SuspicionTiming,postDebateSurvey.player1StanceStrength,postDebateSurvey.player1StanceConfidence,postDebateSurvey.player1OpponentPerception,postDebateSurvey.player1PerceptionConfidence,postDebateSurvey.player1SuspicionTiming,postDebateSurvey.player1DetectionCues,postDebateSurvey.player1DetectionOther,belief_pre,confidence_pre,round_final,belief_post,confidence_post,p1_reflection_quality,acknowledgement_binary,reflection_n,persuader_arg_quality,argument_n,confidence_post_missing,belief_change,confidence_change,initial_stance_strength,group_2lvl
69b03fd157d1915d7288fc61,human-human,2,4,True,open_to_change,human,round_1_2,6.0,5.0,human,4.0,round_1_2,"['natural_flow', 'typos_informal', 'varied_styles']",,50.0,70.0,4,0.0,70.0,17.5,0.0,4.0,2.25,4,False,-50.0,0.0,0,human
69b01cb372628e22871f4c5f,human-human,1,4,False,firm_on_stance,human,round_1_2,5.0,3.0,human,3.0,round_1_2,"['natural_flow', 'typos_informal']",,100.0,80.0,4,35.0,60.0,15.5,1.0,4.0,3.25,4,False,-65.0,-20.0,2,human
69affeb8a57f60770a789f20,human-human,1,4,True,open_to_change,human,round_1_2,5.0,4.0,human,5.0,round_1_2,['emotional_tone'],,50.0,75.0,4,50.0,60.0,17.5,1.0,4.0,1.75,4,False,0.0,-15.0,0,human
69aeeb923b45fc551e0f5f95,human-human,1,4,True,firm_on_stance,human,round_3_4,6.0,6.0,human,4.0,round_3_4,"['natural_flow', 'typos_informal', 'emotional_tone']",,100.0,91.0,4,50.0,50.0,8.25,1.0,4.0,2.0,4,False,-50.0,-41.0,2,human
69ae0e16d0514b89ec60ad3a,human-human,3,4,True,convinced_of_stance,human,round_1_2,5.0,2.0,human,5.0,round_1_2,"['natural_flow', 'typos_informal']",,75.0,72.0,4,58.0,71.0,8.75,1.0,4.0,3.0,4,False,-17.0,-1.0,1,human
69ae0cf2d0514b89ec60acee,human-human,1,4,True,open_to_change,human,round_1_2,4.0,2.0,human,5.0,round_1_2,['natural_flow'],,50.0,54.0,4,50.0,52.0,10.0,1.0,4.0,3.0,4,False,0.0,-2.0,0,human
69ada1fa3d2b5eba5a91e295,human-human,2,4,True,open_to_change,human,round_1_2,6.0,5.0,human,4.0,round_1_2,['other'],this debate was done by known opponent,50.0,55.0,4,75.0,58.0,18.25,1.0,4.0,2.75,4,False,25.0,3.0,0,human
69aadc2847d9025cf07af805,human-human,3,4,True,firm_on_stance,human,round_1_2,6.0,5.0,human,3.0,round_1_2,['unpredictable'],,0.0,75.0,4,0.0,84.0,7.0,0.0,4.0,1.5,4,False,0.0,9.0,2,human
69a95edf6471229f4b7a5545,human-human,2,4,True,convinced_of_stance,human,round_3_4,2.0,2.0,human,3.0,round_3_4,"['natural_flow', 'typos_informal', 'varied_styles']",,25.0,34.0,4,75.0,25.0,16.5,1.0,4.0,2.0,4,False,50.0,-9.0,1,human
69a91da5b1c3b3255791b181,human-human,2,4,False,open_to_change,human,round_1_2,4.0,5.0,human,5.0,round_1_2,"['emotional_tone', 'typos_informal', 'unpredictable']",,50.0,75.0,4,16.0,70.0,25.0,1.0,4.0,2.5,4,False,-34.0,-5.0,0,human
69a7cf1d811ecc1322709d38,human-human,3,4,True,firm_on_stance,human,round_1_2,7.0,7.0,human,5.0,round_1_2,['natural_flow'],,0.0,100.0,4,0.0,100.0,54.5,0.0,4.0,2.25,4,False,0.0,0.0,2,human
69a6d534076d1847b5a0948d,human-human,2,4,True,convinced_of_stance,human,round_1_2,5.0,7.0,human,5.0,round_1_2,['natural_flow'],,25.0,20.0,4,35.0,54.0,23.25,1.0,4.0,2.5,4,False,10.0,34.0,1,human
69a678c782bc1c66862a9cec,human-human,1,5,True,firm_on_stance,human,round_1_2,5.0,5.0,human,3.0,round_1_2,"['varied_styles', 'natural_flow']",,100.0,62.0,5,60.0,60.0,12.8,1.0,5.0,3.2,5,False,-40.0,-2.0,2,human
69a668ef82bc1c6686298e63,human-human,3,6,True,open_to_change,human,round_3_4,5.0,6.0,human,5.0,round_3_4,"['emotional_tone', 'typos_informal', 'varied_styles']",,50.0,68.0,6,94.0,93.0,19.333333333333332,0.0,6.0,2.8333333333333335,6,False,44.0,25.0,0,human
69a44b7edfa7c1fe243a0df8,human-human,2,4,False,convinced_of_stance,human,round_1_2,6.0,5.0,human,5.0,round_1_2,"['typos_informal', 'natural_flow']",,75.0,100.0,4,95.0,95.0,27.25,1.0,4.0,3.0,4,False,20.0,-5.0,1,human
69a3f743c3f532453c5ce21a,human-human,2,5,True,convinced_of_stance,human,round_3_4,5.0,6.0,human,4.0,round_3_4,"['natural_flow', 'unpredictable', 'varied_styles']",,25.0,78.0,5,63.0,73.0,14.6,1.0,5.0,2.2,5,False,38.0,-5.0,1,human
69a3dca6a25dea5aded7a9ae,human-human,1,4,True,open_to_change,human,round_1_2,5.0,5.0,human,5.0,round_1_2,['typos_informal'],,50.0,81.0,4,50.0,50.0,24.75,0.0,4.0,3.0,4,False,0.0,-31.0,0,human
699ec589f53d44e8e544d0ab,human-human,3,4,False,firm_on_stance,human,round_3_4,5.0,5.0,human,4.0,round_3_4,['natural_flow'],,100.0,89.0,4,22.0,64.0,10.75,1.0,4.0,2.0,4,False,-78.0,-25.0,2,human
699d4c2f41690257a47f6b14,human-human,1,4,True,open_to_change,human,round_1_2,5.0,4.0,human,5.0,round_1_2,"['natural_flow', 'unpredictable']",,50.0,95.0,4,5.0,95.0,24.25,1.0,4.0,3.0,4,False,-45.0,0.0,0,human
699af60c9bfc0e83b484126c,human-human,2,4,False,convinced_of_stance,ai,round_1_2,6.0,6.0,ai,5.0,round_1_2,"['formulaic_structure', 'other']",sentence structure + vocabulary used reeks of AI; too clinical and sterile,25.0,67.0,4,10.0,85.0,,,,1.8,5,False,-15.0,18.0,1,human
699701454bd396a55ecfa95f,human-human,1,4,False,open_to_change,human,round_1_2,5.0,4.0,human,5.0,round_1_2,['other'],shes right beside me,50.0,86.0,4,91.0,86.0,5.25,1.0,4.0,2.5,4,False,41.0,0.0,0,human
69afc1a1a45e1f4349aa731c,firm,3,4,False,open_to_change,human,round_3_4,4.0,4.0,human,1.0,round_3_4,['typos_informal'],,50.0,55.0,4,67.0,80.0,9.5,0.0,4.0,3.0,5,False,17.0,25.0,0,ai
69aed5567de1a044b0bd9b3d,firm,1,5,False,convinced_of_stance,ai,round_1_2,5.0,5.0,ai,5.0,round_1_2,['other'],1. Em dash in the first response. 2. The gameMode was leaked in the console.,75.0,75.0,5,85.0,75.0,10.6,0.0,5.0,3.1666666666666665,6,False,10.0,0.0,1,ai
69aecd3b7de1a044b0bd97e3,firm,3,4,True,firm_on_stance,ai,round_1_2,6.0,6.0,ai,5.0,round_1_2,"['perfect_grammar', 'repetitive_phrases', 'response_timing', 'formulaic_structure', 'no_personal_stories']",,0.0,100.0,4,25.0,100.0,29.75,0.0,4.0,3.0,4,False,25.0,0.0,2,ai
69ae9343a21c1d20f5005555,firm,1,2,False,firm_on_stance,ai,round_3_4,6.0,6.0,ai,3.0,round_3_4,"['too_logical', 'no_personal_stories', 'formulaic_structure']",,100.0,80.0,2,19.0,70.0,18.5,0.0,2.0,3.0,3,False,-81.0,-10.0,2,ai
69ad8d59dc9510c9e01638e5,firm,3,5,False,open_to_change,ai,round_3_4,5.0,5.0,ai,4.0,round_3_4,"['perfect_grammar', 'no_personal_stories', 'formulaic_structure']",,50.0,86.0,5,3.0,95.0,71.0,0.0,5.0,3.3333333333333335,6,False,-47.0,9.0,0,ai
69acf88f5fed646a87b96686,firm,1,4,True,firm_on_stance,ai,round_3_4,7.0,7.0,ai,4.0,round_3_4,"['repetitive_phrases', 'too_logical']",,100.0,100.0,4,100.0,100.0,4.0,0.0,4.0,3.25,4,False,0.0,0.0,2,ai
69ac2bb304a99236e4a014da,firm,3,5,False,convinced_of_stance,ai,round_1_2,6.0,6.0,ai,5.0,round_1_2,['other'],"This debate was done quite late, so when I got assigned to an opponent relatively quickly I assumed that I was talking to an AI bot😅",25.0,60.0,5,20.0,75.0,16.6,0.0,5.0,2.6666666666666665,6,False,-5.0,15.0,1,ai
69a837cebfa2317a36d26707,firm,3,4,True,firm_on_stance,ai,round_3_4,6.0,6.0,ai,5.0,round_3_4,['other'],Repetition of arguments or going back to earlier premises I already clarified before.,0.0,92.0,4,3.0,92.0,17.25,0.0,4.0,3.75,4,False,3.0,0.0,2,ai
69a83335bfa2317a36d263ad,firm,1,4,False,convinced_of_stance,ai,round_1_2,6.0,7.0,ai,5.0,round_1_2,"['no_personal_stories', 'response_timing', 'other']",Poor arguments,75.0,90.0,4,50.0,90.0,13.25,0.0,4.0,3.2,5,False,-25.0,0.0,1,ai
69a7c733811ecc13226f51c9,firm,2,4,True,firm_on_stance,ai,round_1_2,5.0,5.0,ai,5.0,round_1_2,"['response_timing', 'too_logical']",,0.0,96.0,4,11.0,86.0,8.0,0.0,4.0,3.0,4,False,11.0,-10.0,2,ai
69a68df382bc1c66862d28c6,firm,2,4,True,firm_on_stance,ai,round_1_2,6.0,2.0,ai,3.0,round_1_2,"['too_logical', 'response_timing']",,100.0,50.0,4,47.0,50.0,8.75,0.0,4.0,3.0,4,False,-53.0,0.0,2,ai
69a439b5844461e35198637b,firm,3,4,False,open_to_change,unsure,round_3_4,6.0,6.0,unsure,2.0,round_3_4,"['mixed_signals', 'response_timing', 'tone_shifts', 'argument_structure']",,50.0,90.0,4,92.0,92.0,29.25,0.0,4.0,3.4,5,False,42.0,2.0,0,ai
69a402e8c3f532453c5e30c5,firm,1,7,False,open_to_change,ai,round_3_4,5.0,5.0,ai,3.0,round_3_4,"['perfect_grammar', 'repetitive_phrases', 'too_logical', 'response_timing', 'formulaic_structure']",,50.0,99.0,7,64.0,91.0,9.0,1.0,7.0,2.875,8,False,14.0,-8.0,0,ai
69a4012ac3f532453c5ddc01,firm,1,4,True,firm_on_stance,ai,round_1_2,7.0,6.0,ai,5.0,round_1_2,"['perfect_grammar', 'repetitive_phrases', 'too_logical', 'formulaic_structure', 'no_personal_stories']",,100.0,95.0,4,92.0,95.0,8.0,0.0,4.0,3.0,4,False,-8.0,0.0,2,ai
69a3ff46c3f532453c5d7c18,firm,3,5,True,firm_on_stance,ai,round_3_4,5.0,3.0,ai,4.0,round_3_4,"['response_timing', 'formulaic_structure']",,0.0,100.0,5,42.0,71.0,7.0,1.0,5.0,3.2,5,False,42.0,-29.0,2,ai
69a3fc81c3f532453c5d1105,firm,1,6,False,convinced_of_stance,ai,round_3_4,6.0,5.0,ai,5.0,round_3_4,"['formulaic_structure', 'other']",Rehashing old points and not introducing new arguments,25.0,79.0,6,0.0,88.0,7.0,0.0,6.0,3.2857142857142856,7,False,-25.0,9.0,1,ai
699da8674b602e9f5e16ea5e,firm,2,5,False,convinced_of_stance,,,,,,,,[],,75.0,100.0,4,100.0,100.0,12.25,0.0,4.0,2.6,5,False,25.0,0.0,1,ai
699d95d89117de7aca4bce25,firm,1,4,False,convinced_of_stance,ai,round_3_4,4.0,3.0,ai,3.0,round_3_4,['too_logical'],,25.0,77.0,4,50.0,77.0,4.75,0.0,4.0,3.0,5,False,25.0,0.0,1,ai
699d958f9117de7aca4bcdb6,firm,3,4,True,convinced_of_stance,,,,,,,,[],,75.0,86.0,4,86.0,86.0,10.75,0.0,4.0,3.5,4,False,11.0,0.0,1,ai
699d921f9117de7aca4b961e,firm,2,4,False,convinced_of_stance,ai,round_1_2,6.0,6.0,ai,4.0,round_1_2,"['perfect_grammar', 'no_personal_stories', 'formulaic_structure']",,75.0,100.0,4,100.0,100.0,9.5,0.0,4.0,3.6,5,False,25.0,0.0,1,ai
699d91f69117de7aca4b9228,firm,3,4,False,firm_on_stance,ai,round_5_7,5.0,6.0,ai,5.0,round_5_7,"['perfect_grammar', 'response_timing', 'too_logical']",,100.0,50.0,4,50.0,100.0,25.333333333333332,0.0,3.0,3.4,5,False,-50.0,50.0,2,ai
699c883e0c3554f34686ff73,firm,2,4,True,open_to_change,ai,round_1_2,5.0,4.0,ai,3.0,round_1_2,"['perfect_grammar', 'too_logical', 'response_timing']",,50.0,50.0,4,68.0,62.0,10.25,0.0,4.0,3.25,4,False,18.0,12.0,0,ai
699c85000c3554f34686feda,firm,1,5,True,open_to_change,ai,round_3_4,6.0,5.0,ai,4.0,round_3_4,"['repetitive_phrases', 'response_timing', 'other']",i asked back a question but it didn't answer the question and gave a similar response to the previous rebuttal,50.0,70.0,4,50.0,65.0,7.75,1.0,4.0,3.2,5,False,0.0,-5.0,0,ai
69996a9c45ee5dbe08823c32,firm,1,4,False,firm_on_stance,ai,round_3_4,6.0,6.0,ai,4.0,round_3_4,"['repetitive_phrases', 'response_timing', 'no_personal_stories']",,0.0,85.0,4,85.0,85.0,10.0,0.0,4.0,3.2,5,False,85.0,0.0,2,ai
6998263bd67f336ab65b9226,firm,2,4,True,firm_on_stance,ai,round_1_2,5.0,4.0,ai,4.0,round_1_2,"['perfect_grammar', 'repetitive_phrases', 'too_logical', 'response_timing']",,100.0,100.0,4,50.0,100.0,23.0,0.0,1.0,3.25,4,False,-50.0,0.0,2,ai
6996f18b967b343cf635a9d0,firm,1,5,False,firm_on_stance,ai,round_3_4,3.0,3.0,ai,5.0,round_3_4,"['response_timing', 'no_personal_stories']",,0.0,94.0,5,26.0,83.0,8.0,1.0,5.0,3.3333333333333335,6,False,26.0,-11.0,2,ai
6996edde967b343cf63582e5,firm,1,4,False,convinced_of_stance,ai,round_3_4,6.0,5.0,ai,4.0,round_3_4,"['response_timing', 'other']",He kinda changed his stance then went back to his original stance,75.0,84.0,4,88.0,87.0,6.25,0.0,4.0,3.4,5,False,13.0,3.0,1,ai
6996ca12b05cb9a37bb60e1b,firm,1,4,True,firm_on_stance,ai,round_1_2,7.0,7.0,ai,5.0,round_1_2,"['perfect_grammar', 'repetitive_phrases', 'too_logical', 'response_timing', 'no_personal_stories', 'formulaic_structure']",,0.0,100.0,3,0.0,100.0,9.0,0.0,4.0,3.25,4,False,0.0,0.0,2,ai
69a92d4a3e5a9a6ab07b716f,balanced,2,5,False,convinced_of_stance,ai,round_1_2,5.0,4.0,ai,4.0,round_1_2,['formulaic_structure'],,75.0,100.0,5,75.0,100.0,8.8,0.0,5.0,2.3333333333333335,6,False,0.0,0.0,1,ai
69a7d372811ecc13227198c2,balanced,1,4,True,open_to_change,unsure,round_1_2,3.0,5.0,unsure,5.0,round_1_2,['mixed_signals'],,50.0,60.0,4,45.0,60.0,5.75,0.0,4.0,3.25,4,False,-5.0,0.0,0,ai
69a7d0fb811ecc132270f6b9,balanced,1,4,True,convinced_of_stance,unsure,round_1_2,2.0,3.0,unsure,4.0,round_1_2,['mixed_signals'],,75.0,50.0,4,48.0,50.0,6.0,0.0,4.0,3.25,4,False,-27.0,0.0,1,ai
69a68a1b82bc1c66862c88a0,balanced,3,5,True,convinced_of_stance,ai,round_1_2,5.0,3.0,ai,5.0,round_1_2,"['response_timing', 'formulaic_structure', 'repetitive_phrases']",,25.0,81.0,5,54.0,81.0,9.0,1.0,5.0,3.0,5,False,29.0,0.0,1,ai
69a6873b82bc1c66862c0807,balanced,1,4,True,firm_on_stance,ai,round_1_2,5.0,5.0,ai,5.0,round_1_2,"['too_logical', 'response_timing', 'formulaic_structure']",,0.0,70.0,4,33.0,70.0,7.0,1.0,4.0,3.25,4,False,33.0,0.0,2,ai
69a5be50debc943bc448184a,balanced,1,5,False,open_to_change,ai,round_1_2,3.0,3.0,ai,2.0,round_1_2,"['response_timing', 'no_personal_stories', 'perfect_grammar']",,50.0,50.0,5,9.0,16.0,19.4,1.0,5.0,3.1666666666666665,6,False,-41.0,-34.0,0,ai
